author_id,product_id,author_url,author,rank,num_of_reviews,date_scraped
218152568000316,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AHV5LLSDZIINJXTFHTDYU3X2KKIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Brar,577679,5,2019-03-01 23:12:18.566316
104512416532354,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AGJNBKCSOJEVKUYT52PE6GHEEKHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,M,168431,10,2019-03-01 23:12:28.825908
161822720466473,206510457161996,https://www.amazon.ca/gp/profile/amzn1.account.AHQ67RKN7C2VO6YG7MQROIX64EUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,nicolasma,268799,43,2019-03-01 23:12:38.491948
77450684545306,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AE7SBX5LG6H5ZKKZNSCPKFLE3ZZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Beata,104924,32,2019-03-01 23:13:07.094011
102785436441751,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AGUPZYZEUBDICNDWIEDAJ3MJENTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,GPlax,702456,12,2019-03-01 23:13:20.156396
233800673278855,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AGYC72IOZSQMVEYQMBFA46OCRNTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,eric bilodeau,961780,87,2019-03-01 23:13:29.380558
48356962338534,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AGFZIJDN7NAUTMECGH4M5ZONDNMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Coco,858793,6,2019-03-01 23:13:58.217809
51646543359662,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AGOV3KOMHSTUVHBFJBS2HVYRZGDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Jamie Brown,86530,39,2019-03-01 23:14:06.717185
22120923306547,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AG63IEZ3RBLVCK5TKS6CWEBLNOVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,niguio,228163,6,2019-03-01 23:14:24.129524
224968152062269,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AEGQXMRXIIPQ6FKD6REDR6LCXHPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Brittany,238342,11,2019-03-01 23:14:38.689717
160183797563745,5209982503582,https://www.amazon.ca/gp/profile/amzn1.account.AE6MWON3H64RYIDRVM2742VYF4JA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Dennis Havinga,115148,7,2019-03-01 23:14:50.660330
253147663071321,229661698069739,https://www.amazon.ca/gp/profile/amzn1.account.AF3T3QSAIK43FXGHKEI2EMY7BFUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,DJazz,570113,28,2019-03-01 23:15:10.185760
51576884482905,229661698069739,https://www.amazon.ca/gp/profile/amzn1.account.AGLYMRACO3Z3WVM2TV3K3GZDQRGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Amazon Customer,495105,9,2019-03-01 23:15:25.534839
259674197169354,229661698069739,https://www.amazon.ca/gp/profile/amzn1.account.AHCQF7J54STONKAUVB32EXFMJ6EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Liki,1559532,1,2019-03-01 23:15:34.426671
28349349145965,229661698069739,https://www.amazon.ca/gp/profile/amzn1.account.AE6BF43KYZPM3FD273KUODKVN6YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Francois Aitsalem,1257640,5,2019-03-01 23:15:42.839956
122041258777074,229661698069739,https://www.amazon.ca/gp/profile/amzn1.account.AESH42OWVQ2O3XZCMOO2QY4BMSUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Dan B,34769,96,2019-03-01 23:15:52.041954
181110844870930,229661698069739,https://www.amazon.ca/gp/profile/amzn1.account.AHY73LLUXJO3RYAJKM52ORK4T4RQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,THC-ThatHighCandian,690,217,2019-03-01 23:16:22.493188
196668552958869,229661698069739,https://www.amazon.ca/gp/profile/amzn1.account.AHMU4TBGUKX3SITXIPK4PM22FJ2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,Pierre Arsenault,486620,4,2019-03-01 23:17:37.259065
